"","Feature","Freq_sPLSDA","Class_sPLSDA","Freqs","Class_elastic","Freq_elastic","RelFreq_elastic","PLSDA_Comp","PLSDA_Class","PLSDA_Sign_NP","PLSDA_Sign_FD","PLSDA_Sign_SO","PLSDA_importance_mean","PLSDA_importance_sum","PLSDA_importance_max","PLSDA_sign_dom","Multinom_Class","Multinom_Coef","Multinom_Sign","crit_splsda","crit_elastic","crit_plsda","crit_multinom","Score","Candidate"
"1","BAX",11,"FD",0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"2","DPP3",45,"FD",0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"3","ENSA",45,"FD",0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"4","IFNg",96,"FD",0.96,"FD;NP;SO",77,0.77,"1;2","FD;FD","1;1","1;1","-1;-1",0.0782874797425447,0.156574959485089,0.11133164188683,-1,"FD;NP;SO","0.41;0;-1.006","1;0;-1",1,1,0,0,2,"No"
"5","IL_1b",11,"FD",0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"6","IL_2",86,"FD",0.86,"FD;NP;SO",100,1,"1;2","FD;FD","-1;-1","1;1","1;1",0.17111889254477,0.34223778508954,0.269619320984478,-1,"FD;NP;SO","4.6;0;0.847","1;0;1",1,1,1,0,3,"Yes"
"7","IL_8",100,"FD",1,"FD;SO",100,1,"1;2","FD;FD","1;1","1;1","-1;-1",0.143898686943368,0.287797373886735,0.14390425633864,-1,"FD;NP;SO","0.187;0;-1.919","1;0;-1",1,1,1,0,3,"Yes"
"8","neg_127",100,"FD",1,"FD;NP;SO",100,1,"1;2","FD;FD","1;1","1;1","-1;-1",0.11411530603673,0.22823061207346,0.158216213540311,-1,"FD;NP;SO","-0.598;0;-1.994","-1;0;-1",1,1,0,0,2,"No"
"9","neg_70",100,"FD",1,"FD;NP;SO",100,1,"1;2","FD;FD","1;1","1;1","-1;-1",0.109245781804829,0.218491563609659,0.155924121902619,-1,"FD;NP;SO","-1.12;0;-2.148","-1;0;-1",1,1,0,0,2,"No"
"10","PDLIM2",31,"FD",0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"11","pos_174",100,"FD",1,"FD;NP;SO",100,1,"1;2","FD;FD","1;1","1;1","-1;-1",0.108362980706876,0.216725961413752,0.158818530344691,-1,"FD;NP;SO","-0.397;0;-1.594","-1;0;-1",1,1,0,0,2,"No"
"12","pos_681",62,"FD",0.62,"FD;NP;SO",100,1,"1;2","FD;FD","-1;-1","1;1","-1;-1",0.19223291045449,0.38446582090898,0.331549767138645,-1,"FD;NP;SO","3.827;0;-1.159","1;0;-1",1,1,1,0,3,"Yes"
"13","SLC39A7",62,"FD",0.62,"FD;NP;SO",100,1,"1;2","FD;FD","-1;-1","1;1","-1;-1",0.177127498238502,0.354254996477004,0.304980583467827,-1,"FD;NP;SO","3.091;0;-0.975","1;0;-1",1,1,1,0,3,"Yes"
"14","SLTM",31,"FD",0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"15","SNORA71B",11,"FD",0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"16","SNORD100",45,"FD",0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"17","SNORD22",45,"FD",0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"18","VEGF_A",96,"FD",0.96,"FD;NP;SO",100,1,"1;2","FD;FD","1;1","1;1","-1;-1",0.125673520467791,0.251347040935583,0.129101922343647,-1,"FD;NP;SO","1.108;0;-2.604","1;0;-1",1,1,1,0,3,"Yes"
"19","ZNF326",31,"FD",0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"20","ATP5MPL",100,"NP",1,"NP;SO",67,0.67,"1;2","NP;NP","1;1","1;1","-1;-1",0.0874829239673912,0.174965847934782,0.137890461016418,-1,"FD;NP;SO","-1.581;0;-1.38","-1;0;-1",1,1,0,0,2,"No"
"21","C4orf3",100,"NP",1,"FD;NP;SO",91,0.91,"1;2","NP;NP","1;1","1;1","-1;-1",0.113338545900331,0.226677091800661,0.146202894595436,-1,"FD;NP;SO","-2.936;0;-1.362","-1;0;-1",1,1,0,0,2,"No"
"22","DGKZ",45,"NP",0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"23","EIF1AD",96,"NP",0.96,"FD;NP;SO",100,1,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.13437310803781,0.268746216075621,0.134850238549256,1,"FD;NP;SO","-2.737;0;-1.343","-1;0;-1",1,1,1,0,3,"Yes"
"24","FABP3",11,"NP",0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"25","FAM98A",100,"NP",1,"FD;NP;SO",100,1,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.154959851608386,0.309919703216772,0.162142101589313,1,"FD;NP;SO","-2.934;0;-1.552","-1;0;-1",1,1,1,0,3,"Yes"
"26","Fractalkine",31,"NP",0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"27","IL_18",86,"NP",0.86,"FD;NP;SO",82,0.82,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.074332173107139,0.148664346214278,0.0830942287537117,-1,"FD;NP;SO","-2.622;0;-0.586","-1;0;-1",1,1,0,0,2,"No"
"28","neg_1075",100,"NP",1,"FD;NP;SO",100,1,"1;2","NP;NP","1;1","1;1","-1;-1",0.109263294292408,0.218526588584815,0.158692781365576,-1,"FD;NP;SO","-1.758;0;-1.803","-1;0;-1",1,1,0,0,2,"No"
"29","neg_128",100,"NP",1,"FD;NP;SO",100,1,"1;2","NP;NP","1;1","1;1","-1;-1",0.081270780864305,0.16254156172861,0.160354839390674,-1,"FD;NP;SO","-1.387;0;-2.205","-1;0;-1",1,1,0,0,2,"No"
"30","neg_27",100,"NP",1,"FD;NP;SO",88,0.88,"1;2","NP;NP","1;1","1;1","-1;-1",0.110463145557103,0.220926291114206,0.146067312657793,-1,"FD;NP;SO","-0.975;0;-1.231","-1;0;-1",1,1,0,0,2,"No"
"31","neg_271",100,"NP",1,"FD;NP;SO",100,1,"1;2","NP;NP","1;1","1;1","-1;-1",0.131501069328289,0.263002138656577,0.165824236172443,-1,"FD;NP;SO","0.002;0;-1.789","1;0;-1",1,1,1,0,3,"Yes"
