"","Accuracy","BalAcc","Kappa","AUC","LogLoss","Model","GridID","p","n_coefs","q_tx","q_pr","q_me","q_cl"
"1",0.9,0.930555555555556,0.84375,0.947916666666667,0.626465042853981,"BRMS_MCMC",9,73,146,0.97,0.7,0.85,0.65
"2",0.9,0.930555555555556,0.84375,0.947916666666667,0.607299440962577,"BRMS_MCMC",33,70,140,0.97,0.7,0.85,0.7
"3",0.9,0.930555555555556,0.84375,0.947916666666667,0.871727492598587,"NNET",35,82,164,0.95,0.85,0.85,0.7
"4",0.8,0.868055555555556,0.696969696969697,0.96875,0.594014152876956,"BRMS_MCMC",3,94,188,0.97,0.7,0.7,0.65
"5",0.8,0.868055555555556,0.696969696969697,0.96875,0.562164770079984,"BRMS_MCMC",6,90,180,0.97,0.85,0.7,0.65
"6",0.8,0.868055555555556,0.696969696969697,0.947916666666667,0.727294053522965,"BRMS_MCMC",7,128,256,0.9,0.7,0.85,0.65
"7",0.8,0.868055555555556,0.696969696969697,0.90625,0.911853766860852,"NNET",8,89,178,0.95,0.7,0.85,0.65
"8",0.8,0.868055555555556,0.696969696969697,0.9375,0.665592202280367,"BRMS_MCMC",8,89,178,0.95,0.7,0.85,0.65
"9",0.8,0.868055555555556,0.696969696969697,0.947916666666667,0.728756298203245,"BRMS_MCMC",10,124,248,0.9,0.85,0.85,0.65
"10",0.8,0.868055555555556,0.696969696969697,0.947916666666667,0.788940025585526,"NNET",11,85,170,0.95,0.85,0.85,0.65
"11",0.8,0.868055555555556,0.696969696969697,0.947916666666667,0.656883815622956,"BRMS_MCMC",11,85,170,0.95,0.85,0.85,0.65
"12",0.8,0.868055555555556,0.696969696969697,0.958333333333333,0.627418297988294,"BRMS_MCMC",12,69,138,0.97,0.85,0.85,0.65
"13",0.8,0.868055555555556,0.696969696969697,0.947916666666667,0.77862033385109,"BRMS_MCMC",13,114,228,0.9,0.7,0.95,0.65
"14",0.8,0.868055555555556,0.696969696969697,0.947916666666667,0.690121564840535,"BRMS_MCMC",14,75,150,0.95,0.7,0.95,0.65
"15",0.8,0.868055555555556,0.696969696969697,0.958333333333333,0.658194078481174,"BRMS_MCMC",15,59,118,0.97,0.7,0.95,0.65
"16",0.8,0.868055555555556,0.696969696969697,0.90625,0.759506662257347,"BRMS_MCMC",16,110,220,0.9,0.85,0.95,0.65
"17",0.8,0.868055555555556,0.696969696969697,0.927083333333333,0.710704444011371,"BRMS_MCMC",17,71,142,0.95,0.85,0.95,0.65
"18",0.8,0.868055555555556,0.696969696969697,0.9375,0.660607085931366,"BRMS_MCMC",18,55,110,0.97,0.85,0.95,0.65
"19",0.8,0.868055555555556,0.696969696969697,0.927083333333333,0.781588173217553,"BRMS_MCMC",19,112,224,0.9,0.7,0.97,0.65
"20",0.8,0.868055555555556,0.696969696969697,0.927083333333333,0.709754284376323,"BRMS_MCMC",20,73,146,0.95,0.7,0.97,0.65
"21",0.8,0.868055555555556,0.696969696969697,0.958333333333333,0.647165568577225,"BRMS_MCMC",21,57,114,0.97,0.7,0.97,0.65
"22",0.8,0.868055555555556,0.696969696969697,0.927083333333333,0.709599395090916,"BRMS_MCMC",23,69,138,0.95,0.85,0.97,0.65
"23",0.8,0.868055555555556,0.696969696969697,0.927083333333333,0.660453970863418,"BRMS_MCMC",24,53,106,0.97,0.85,0.97,0.65
"24",0.8,0.868055555555556,0.696969696969697,0.989583333333333,0.618682989538752,"BRMS_MCMC",26,107,214,0.95,0.7,0.7,0.7
"25",0.8,0.868055555555556,0.696969696969697,0.989583333333333,0.577650779854306,"BRMS_MCMC",27,91,182,0.97,0.7,0.7,0.7
"26",0.8,0.868055555555556,0.696969696969697,0.947916666666667,0.582647829743963,"BRMS_MCMC",30,87,174,0.97,0.85,0.7,0.7
"27",0.8,0.868055555555556,0.696969696969697,0.947916666666667,0.714412330250166,"BRMS_MCMC",31,125,250,0.9,0.7,0.85,0.7
"28",0.8,0.868055555555556,0.696969696969697,0.947916666666667,0.662835014035504,"NNET",32,86,172,0.95,0.7,0.85,0.7
"29",0.8,0.868055555555556,0.696969696969697,0.9375,0.646026530283807,"BRMS_MCMC",32,86,172,0.95,0.7,0.85,0.7
"30",0.8,0.868055555555556,0.696969696969697,0.947916666666667,0.725947105482368,"BRMS_MCMC",34,121,242,0.9,0.85,0.85,0.7
"31",0.8,0.868055555555556,0.696969696969697,0.958333333333333,0.621470202419649,"BRMS_MCMC",35,82,164,0.95,0.85,0.85,0.7
"32",0.8,0.868055555555556,0.696969696969697,0.958333333333333,0.612689611096869,"BRMS_MCMC",36,66,132,0.97,0.85,0.85,0.7
"33",0.8,0.868055555555556,0.696969696969697,0.947916666666667,0.763050238101652,"BRMS_MCMC",37,111,222,0.9,0.7,0.95,0.7
"34",0.8,0.868055555555556,0.696969696969697,0.947916666666667,0.689160294895955,"BRMS_MCMC",38,72,144,0.95,0.7,0.95,0.7
"35",0.8,0.868055555555556,0.696969696969697,0.96875,0.63027318150221,"BRMS_MCMC",39,56,112,0.97,0.7,0.95,0.7
"36",0.8,0.868055555555556,0.696969696969697,0.916666666666667,0.758118133230705,"BRMS_MCMC",40,107,214,0.9,0.85,0.95,0.7
"37",0.8,0.868055555555556,0.696969696969697,0.947916666666667,0.680477299760481,"BRMS_MCMC",41,68,136,0.95,0.85,0.95,0.7
"38",0.8,0.868055555555556,0.696969696969697,0.947916666666667,0.633901420897649,"BRMS_MCMC",42,52,104,0.97,0.85,0.95,0.7
"39",0.8,0.868055555555556,0.696969696969697,0.947916666666667,0.749318957661396,"BRMS_MCMC",43,109,218,0.9,0.7,0.97,0.7
"40",0.8,0.868055555555556,0.696969696969697,0.958333333333333,0.654418078044276,"BRMS_MCMC",44,70,140,0.95,0.7,0.97,0.7
"41",0.8,0.868055555555556,0.696969696969697,0.958333333333333,0.624898498743665,"BRMS_MCMC",45,54,108,0.97,0.7,0.97,0.7
"42",0.8,0.868055555555556,0.696969696969697,0.9375,0.644751416088879,"BRMS_MCMC",47,66,132,0.95,0.85,0.97,0.7
"43",0.8,0.868055555555556,0.696969696969697,0.947916666666667,0.638219892898359,"BRMS_MCMC",48,50,100,0.97,0.85,0.97,0.7
"44",0.7,0.805555555555556,0.558823529411765,0.96875,0.698153312590355,"BRMS_MCMC",1,149,298,0.9,0.7,0.7,0.65
"45",0.7,0.805555555555556,0.558823529411765,0.96875,0.630416552373711,"BRMS_MCMC",2,110,220,0.95,0.7,0.7,0.65
"46",0.7,0.805555555555556,0.558823529411765,0.96875,0.694096152974345,"BRMS_MCMC",4,145,290,0.9,0.85,0.7,0.65
